common_name,contract_area,height_in_metres,spread_in_metres,maturity,physiological_condition,carbon_storage_in_kilograms,pollution_removal_per_year_in_grams
Ash,Highways,10,7,Mature,Fair,460.2,171.3
Cherry - Ornamental,Highways,5,2,Middle aged,Good,4.3,12.6
Alder - Common,Highways,12,5,Middle aged,Fair,159,128.8
Hawthorn - Common,Parks,6,6,Mature,Fair,334.2,91.7
Birch - Silver,Housing,16,6,Mature,Good,198.4,118.6
False Acacia,Housing,17,6,Mature,Fair,557.4,125.4
Hawthorn - Common,Housing,8,4,Mature,Fair,261.2,50.6
London plane,Housing,17,12,Mature,Fair,997.8,584
Ash - Manna,Housing,8,6,Middle aged,Good,184.6,91
London plane,Housing,18,12,Mature,Good,924.4,594.5
Birch - Silver,Highways,5,2,Juvenile,Good,1.5,3.3
London plane,Highways,21,12,Mature,Good,364,605
Ash,Housing,17,10,Mature,Fair,1653,478.6
London plane,Highways,12,5,Mature,Fair,391.5,146.8
Ash - Narrow-leafed,Highways,17,9,Mature,Good,207.3,305.2
Birch - Himalayan,Highways,14,4,Mature,Fair,89.7,63.4
Magnolia,Parks,3,2,Juvenile,Fair,5.3,9.9
Hornbeam,Housing,8,3,Middle aged,Good,24.7,31.7
London plane,Highways,23,19,Mature,Good,3634.5,1451
Lime - Caucasian,Highways,7,3,Middle aged,Fair,112.6,29.5
London plane,Parks,13,10,Mature,Good,602.9,415.8
Mountain-ash,Highways,2,2,Juvenile,Good,1.4,8.6
Maple - Norway,Housing,12,10,Middle aged,Good,226.2,324.4
"Rowan, Mountain Ash",Highways,6,3,Middle aged,Fair,28.7,29.3
Lime - Common,Highways,16,10,Mature,Fair,899.7,747.4
Hawthorn,Housing,9,7,Mature,Good,245.4,146.6
London plane,Housing,14,8,Mature,Good,834.2,357.1
Pear - Chanticclere,Highways,8,3,Middle aged,Fair,24.7,26.8
Pear - Chanticclere,Highways,7,5,Middle aged,Good,94.8,52
Ash,Highways,11,5,Mature,Fair,445.6,106.4
Cherry - Double pint,Education,6,2,Juvenile,Good,11.5,12.6
False Acacia,Housing,15,7,Mature,Fair,639.4,258.6
Sycamore,Housing,16,15,Mature,Good,916.6,746.5
"Rowan, Mountain Ash",Housing,6,2,Juvenile,Good,19.9,12.6
Almond,Housing,5,6,Middle aged,Fair,54,81
Almond,Housing,2,2,Juvenile,Poor,2.7,8.1
London plane,Parks,37,19,Mature,Good,4601.9,1060.2
Horse Chestnut,Parks,23,15,Mature,Good,3065.1,890.8
Ash,Housing,12,9,Mature,Fair,160.6,295.3
False Acacia,Housing,14,10,Mature,Fair,468.7,334.1
Lime - Common,Highways,18,5,Mature,Fair,625.5,112.6
Holly,Housing,8,4,Mature,Good,343.8,97.2
Lime - Caucasian,Parks,15,6,Mature,Good,240.4,277.7
Lime - Common,Housing,16,10,Mature,Good,351.7,395.9
June berry - Upright,Highways,3,2,Juvenile,Good,2.4,7.4
Pine - Corsican,Housing,2,1.5,Juvenile,Good,1.3,6.1
Cypress - Lawson,Housing,12,2,Middle aged,Good,42.6,20
Hornbeam,Education,6,3,Middle aged,Good,24.1,29.3
Cherry - Double pint,Housing,7,6,Middle aged,Fair,101.3,88.5
Hornbeam,Highways,12,4,Middle aged,Good,186,68
Ash,Highways,11,9,Mature,Fair,281.2,278.3
Ash - Narrow-leafed,Housing,15,11,Mature,Fair,382.9,286.7
Dogwood,Highways,2,1.5,Juvenile,Good,1.5,5.7
London plane,Highways,18,12,Mature,Fair,1126.2,594.5
False Acacia,Highways,8,8,Middle aged,Fair,452.6,173.2
London plane,Highways,25,18,Mature,Good,2857.3,1314.1
London plane,Highways,25,16,Mature,Fair,5733.9,1057
London plane,Highways,15,11,Mature,Good,2549.4,468.2
Hornbeam,Parks,5,5,Middle aged,Good,16,64.1
Cedar - Atlas,Education,20,12,Mature,Fair,590.7,725.9
Cypress - Lawson,Parks,6,3,Middle aged,Good,41.8,33
Whitebeam,Housing,7,4,Mature,Good,379.5,39.3
