common_name,contract_area,height_in_metres,spread_in_metres,maturity,physiological_condition,carbon_storage_in_kilograms,pollution_removal_per_year_in_grams
Lime - Caucasian,Highways,15,6,Middle aged,Good,187.5,277.7
Lime - Common,Housing,10,7,Middle aged,Fair,163.9,199.7
Elder,Housing,14,6,Over Mature,Fair,134.5,190.5
Ash,Housing,15,9,Middle aged,Good,221.2,356.1
Maple - Norway,Housing,15,14,Mature,Good,343.6,454.5
Maple - Norway,Highways,11,8,Middle aged,Fair,144.2,272.4
Sycamore - Brillianissiumum,Highways,3,1,Juvenile,Good,6.6,4
Cotoneaster,Housing,6,5,Mature,Fair,179.3,55
Privet - Chinese,Highways,7,3,Mature,Fair,40.9,27.1
London plane,Highways,21,10,Mature,Fair,366,453
London plane,Highways,13,6,Middle aged,Good,99.1,146.8
Alder - Common,Highways,13,6,Middle aged,Good,111.2,185.8
Ash - Narrow-leafed,Housing,8,7,Mature,Fair,210.4,124.3
Elder,Housing,5,4,Mature,Fair,221.7,31.6
Maidenhair tree,Housing,5,2,Juvenile,Good,3.8,3.2
Privet - Chinese,Highways,8,5,Mature,Fair,119.2,67.7
Birch - Himalayan,Housing,4,2,Juvenile,Good,1.5,10.8
London plane,Highways,17,11,Mature,Good,2637.8,499.6
London plane,Highways,14,9,Mature,Fair,1729.5,376.5
Maple - Paperbark,Education,5,2,Juvenile,Good,7.2,14.2
London plane,Highways,17,15,Mature,Good,2171.3,863.4
Wier maple,Highways,14,5,Mature,Fair,570.5,126.4
Cherry - Double pint,Education,5,3,Mature,Fair,39.8,29.3
Yew - common,Housing,6,8,Middle aged,Good,68.7,200.4
Lime,Housing,6,3,Juvenile,Fair,23.8,37
Whitebeam,Highways,8,6,Mature,Poor,279.5,97.2
Cherry,Highways,4,2,Juvenile,Good,6.2,11.6
Birch - Silver,Highways,15,4,Mature,Fair,53.4,52.7
Whitebeam - Swedish,Highways,6,4,Mature,Fair,114.7,35.1
Lime - Small-leaved,Highways,14,7,Mature,Fair,317.4,297.6
London plane,Parks,17,10,Mature,Fair,1442.9,982.3
Pine - Scots,Parks,5,3,Juvenile,Good,18.5,10.1
Alder - Italian,Housing,24,10,Mature,Good,1155,348.4
Lime - Caucasian,Highways,9,3,Middle aged,Good,58.7,40.2
Beech - Common,Housing,20,18,Mature,Excellent,1807.1,1188.3
"Cherry - Wild, Gean",Parks,8,5,Mature,Good,125.2,67.7
June berry,Highways,3,2,Juvenile,Good,2.4,7.4
Yew - common,Parks,10,8,Mature,Fair,111.9,317.2
Ash - Narrow-leafed,Education,12,7,Middle aged,Fair,143.9,54.7
"Birch - Downy, Hairy",Parks,17,10,Mature,Good,652,296.6
Red Robin,Highways,3,1,Middle aged,Good,12.5,3.5
"Rowan, Mountain Ash",Housing,5,2,Middle aged,Fair,9.9,12.6
Horse Chestnut,Highways,14,10,Mature,Fair,898.7,388
Japanese Pagoda,Highways,5,6,Middle aged,Good,58.9,43.2
False Acacia,Housing,13,10,Mature,Fair,1101.4,320.1
Hornbeam,Parks,19,11,Mature,Good,886.8,377.5
London plane,Highways,15,6,Middle aged,Good,255.4,285.4
Lime - Caucasian,Highways,11,6,Middle aged,Fair,103.7,169.3
Maple - Norway,Highways,7,6,Middle aged,Fair,122.4,110.9
Birch - Silver,Housing,16,9,Mature,Good,293.5,305.2
Cypress - Lawson,Education,12,3,Middle aged,Fair,38.7,20
Maidenhair tree,Housing,2.5,1,Juvenile,Good,1.4,5.5
Willow - Goat,Parks,12,14,Mature,Fair,2941.2,346.4
Hornbeam,Highways,11,6,Mature,Fair,304.4,133.2
Sycamore,Highways,15,8,Mature,Fair,1032.1,361
Maple - Crimson King Norway,Highways,13,7,Mature,Good,266.2,268.1
London plane,Housing,14,13,Mature,Good,1192.6,467.3
Cherry - Japanese,Parks,7,6,Middle aged,Poor,166.8,88.5
London plane,Parks,17,10,Mature,Good,2364.7,982.3
Ash,Housing,13,9,Middle aged,Good,258.1,313.9
Ash,Highways,16,5,Middle aged,Fair,80,95.8
Juniper - Common,Education,8,2,Mature,Fair,10.6,20
London plane,Parks,26,21,Mature,Good,4515,1772.6
Whitebeam - Swedish,Highways,10,5,Mature,Good,364.5,85.9
London plane,Highways,19,15,Mature,Good,1169.3,888
London plane,Parks,14,8,Mature,Good,521.2,357.1
Whitebeam,Parks,9,9,Mature,Good,712.5,229.1
Lime - Common,Housing,16,8,Mature,Fair,466.9,323.6
Maple - Sugar,Housing,8,7,Mature,Fair,314.6,136.8
Lime - Common,Highways,20,8,Mature,Fair,1306.5,288.4
London plane,Highways,9,5,Mature,Fair,561.3,98.6
Alder - Italian,Highways,15,5,Mature,Fair,802.9,128.8
Horse Chestnut,Housing,10,5,Middle aged,Good,106.8,96.1
Lime - Common,Housing,18,8,Mature,Fair,625.5,281.4
London plane,Highways,21,12,Mature,Fair,2534.5,615.5
Holly,Parks,8,6,Middle aged,Fair,111.1,97.2
Sweet Gum,Highways,5,2,Middle aged,Fair,4,11.8
London plane,Highways,16,12,Mature,Good,806.8,578.8
Horse Chestnut,Parks,15,16,Mature,Good,8.8,938.9
Ash - Manna,Housing,8,7,Mature,Good,467.9,124.3
London plane,Parks,14,10,Middle aged,Good,310.2,434.6
Maple - Ashleaf,Parks,3,3,Middle aged,Dead,4.7,21.7
London plane,Housing,21,10,Mature,Good,2398.7,453
"Cherry - Wild, Gean",Housing,15,9,Mature,Good,359.4,327.2
London plane,Housing,18,15,Mature,Good,5161.6,888
Plum,Housing,8,8,Mature,Fair,336.2,173.2
Ash - Narrow-leafed,Parks,5,3,Middle aged,Fair,18.2,23.6
Sweet Gum,Highways,6,3,Juvenile,Good,4,11.8
False Acacia,Highways,13,10,Mature,Fair,979.6,320.1
Alder - Italian,Housing,7,3,Middle aged,Fair,29.1,31.7
London plane,Highways,9,7,Mature,Good,680.6,187
Birch - Silver,Education,9,4,Middle aged,Good,33.1,50.9
Sycamore,Housing,11,3,Middle aged,Fair,275,35.8
Tree of Heaven,Highways,17,8,Mature,Good,426.7,213.7
Lime - Caucasian,Housing,13,5,Mature,Good,6000,164.9
Maple - Norway,Highways,14,8,Mature,Fair,267.8,330.7
Lime - Common,Parks,22,10,Mature,Good,369.6,439.6
Wier maple,Housing,14,8,Mature,Fair,439.5,227.9
London plane,Highways,18,9,Mature,Good,1002.3,358
London plane,Parks,28,22,Mature,Good,5641.7,1945.4
False Acacia,Housing,7,5,Juvenile,Fair,5.6,47.5
Holly,Parks,10,4,Middle aged,Good,121.8,58.5
Rowan - Yellow berried,Housing,3,1,Juvenile,Dead,1.4,3.5
Wier maple,Highways,19,11,Mature,Good,723,354.9
Ash - Narrow-leafed,Housing,14,9,Mature,Fair,651.7,286.7
London plane,Highways,11,7,Middle aged,Good,98.2,225.4
Ash,Education,9,4,Middle aged,Fair,81.1,42.5
London plane,Highways,17,12,Mature,Good,4114.3,584
Rowan - Sargent's,Highways,8,7,Middle aged,Good,153,132.7
Holly,Parks,10,6,Mature,Poor,204.5,119.3
Plum - Purple,Housing,2,1.5,Juvenile,Good,1.6,5.7
Honey Locust,Highways,23,11,Mature,Good,759.8,130.1
London plane,Highways,15,12,Mature,Good,670.3,470.7
Laburnum,Highways,7,3,Middle aged,Fair,20.5,31.7
Lime - Common,Highways,19,6,Over Mature,Good,755.4,162.2
Ash,Parks,12,6,Mature,Fair,98.9,162.7
Maple - Field,Highways,2,1,Juvenile,Good,1.8,3.7
"Cherry - Wild, Gean",Parks,6,3,Middle aged,Good,80.3,23.5
Lime - Caucasian,Housing,20,7,Middle aged,Good,187.5,220.8
Hawthorn - European,Highways,5,5,Middle aged,Fair,93,45.1
Lime - Common,Highways,20,12,Mature,Fair,625.5,575.4
Birch - Silver,Housing,15,3,Mature,Good,33.1,29.6
Sycamore,Parks,15,6,Middle aged,Good,502.4,246.5
Maple - Field,Highways,4,1,Juvenile,Fair,3.2,4
Holly,Housing,4,4,Middle aged,Good,46.2,31.6
Maple - Norway,Parks,15,10,Mature,Good,802.6,371.9
Hazel - Turkish,Education,13,7,Mature,Good,145.9,210.2
Cherry - Double pint,Housing,14,6,Middle aged,Good,101.3,190.5
Apple - Crab,Highways,9,6,Mature,Fair,115.7,95.7
Bay tree,Parks,11,10,Middle aged,Good,129.8,306.9
Whitebeam,Highways,3,2,Juvenile,Good,1.4,9.9
Kentucky coffeetree,Highways,4,2,Juvenile,Poor,1.4,13.2
Aspen,Parks,17,7,Mature,Good,199,145.3
Maple - Field,Highways,7,6,Middle aged,Good,59.6,109.5
Cherry - Rosebud,Housing,3,2,Juvenile,Good,4.3,9.9
Plum,Parks,6,5,Middle aged,Good,30.3,71.7
Cherry - Rosebud,Highways,4,1,Middle aged,Good,6.2,3.5
Whitebeam - Swedish,Highways,6,4,Mature,Fair,192.3,35.1
London plane,Highways,20,11,Mature,Good,3190.6,517.2
Maple - Red,Housing,4,1.5,Juvenile,Good,3.1,6.9
Hornbeam,Parks,5,3,Middle aged,Fair,16,25.2
Golden Rain Tree,Highways,5,3,Middle aged,Good,28.4,22.5
Lime - Common,Housing,19,9,Mature,Good,317.4,416.8
London plane,Housing,22,12,Mature,Good,1964.9,626
London plane,Highways,15,8,Mature,Good,551.6,389.1
London plane,Parks,17,12,Mature,Good,1079.2,584
Maple - Norway,Housing,11,6,Mature,Good,319.7,215.2
Sweet Gum,Highways,4,1,Juvenile,Good,1.8,3.3
Lime - Large-leaved,Highways,10,5,Middle aged,Fair,175.5,109
Hazel - Common,Education,5.5,3,Middle aged,Fair,5.5,27.1
Lime - Common,Housing,15,8,Middle aged,Good,175.5,378.8
London plane,Highways,12,7,Middle aged,Fair,141.5,187
Pine - Corsican,Housing,4,3,Juvenile,Good,1.7,10.8
Lime - Common,Parks,15,3,Middle aged,Fair,46.9,40.6
Laurel - Cherry,Housing,5,4,Mature,Good,71.9,35.1
June Berry,Highways,4,2,Juvenile,Good,2.4,8.6
Hawthorn - Cockspur,Housing,5,6,Mature,Fair,124.9,76.7
Sycamore,Parks,10,3,Middle aged,Fair,80.3,35.8
Apple - Crab,Highways,9,5,Middle aged,Good,61.9,106.4
Lime - Small-leaved,Highways,10,5,Mature,Fair,406.9,305.8
London plane,Highways,9,8,Mature,Good,615.8,223.6
Maple - Norway,Housing,15,10,Mature,Good,631.7,442.7
Holly,Parks,6,4,Middle aged,Good,69.3,39.3
Lime - Caucasian,Housing,9,5,Middle aged,Good,131.8,96.1
Sweet Gum,Highways,3,2,Juvenile,Good,1.4,9.3
June Berry,Highways,2,1.5,Juvenile,Good,1.4,4.2
London plane,Highways,10,5,Mature,Good,684.3,111.9
London plane,Highways,17,8,Mature,Good,615.5,289.9
Sycamore,Housing,6,4,Juvenile,Good,16.2,53.6
Lime - Common,Highways,22,5,Mature,Good,728.3,112.6
Lime - Common,Parks,13,4,Middle aged,Good,426.4,86.7
Yew - common,Housing,10,6,Middle aged,Good,212.4,189.4
June Berry,Highways,6,5,Mature,Fair,59.5,45.4
Whitebeam - Swedish,Highways,6,4,Mature,Fair,150.6,35.1
Hazel - Turkish,Housing,6,4,Middle aged,Good,12.8,12.6
Maple - Norway,Housing,16,7,Mature,Fair,260.7,215.4
Lime - Common,Housing,9,3,Mature,Good,200.1,40.2
Yew - common,Parks,8,4,Middle aged,Good,63.7,70.9
Chinese windmill palm,Parks,4,3,Middle aged,Excellent,3.7,39.9
Indian Bean Tree,Parks,10,6,Middle aged,Good,85.3,63.1
Pine - Corsican,Housing,15,7,Mature,Good,197.6,265.9
"Oak - Common, Pedunculate",Parks,15,9,Middle aged,Good,123,290.1
Aspen,Housing,3,2,Juvenile,Dead,1,8.3
Sycamore,Parks,19,9,Mature,Fair,514.8,301.2
Lime - Common,Highways,24,13,Mature,Good,961.5,699.9
London plane,Parks,24,13,Mature,Good,2226.8,734.7
Cherry - Rosebud,Housing,5,2,Juvenile,Good,4.3,12.6
Hawthorn - European,Highways,6,4,Mature,Fair,67.2,39.9
Lime - Common,Highways,15,6,Mature,Fair,388,244
"Rowan, Mountain Ash",Highways,4,2,Juvenile,Fair,7.4,11.6
Hawthorn - Common,Highways,5,2,Middle aged,Good,5.5,14.4
Birch - Himalayan,Corporate Landlord,8,6,Middle aged,Good,53.4,100.5
"Cherry - Wild, Gean",Highways,5,4,Middle aged,Good,23.1,41.8
Whitebeam,Housing,10,5,Middle aged,Fair,130.3,85.9
Lime - Common,Highways,14,9,Mature,Good,369.6,390.6
Maple - Norway,Housing,8,6,Middle aged,Good,245.6,122.3
Hawthorn - Common,Parks,5,3,Middle aged,Good,19.7,28.7
London plane,Housing,13,10,Middle aged,Good,573.9,415.8
Whitebeam,Highways,7,4,Mature,Fair,336.4,39.3
Sycamore,Parks,15,4,Middle aged,Fair,89.2,66.3
London plane,Highways,12,6,Mature,Good,1265.7,173.8
"Cherry - Wild, Gean",Housing,10,4,Mature,Fair,434.6,58.5
Birch - Himalayan,Education,8,7,Mature,Good,79.5,135.1
Lime - Common,Parks,26,12,Mature,Fair,1543.3,633.1
Ash,Highways,15,9,Middle aged,Fair,181.1,305.2
Lime - Common,Housing,18,6,Mature,Fair,509.5,162.2
Lime - Common,Housing,22,9,Mature,Good,1126.4,365
Hawthorn,Housing,4,2,Middle aged,Fair,5.4,13.2
Hazel - Common,Housing,4,4,Juvenile,Good,5.4,37.1
"Cherry - Wild, Gean",Housing,6,5,Middle aged,Fair,80.3,144.4
Maidenhair tree,Highways,5,1,Juvenile,Good,1.4,2.9
"Cherry - Wild, Gean",Education,8,4,Middle aged,Fair,101.3,39.3
Plum,Parks,6,2,Middle aged,Fair,23.1,12.6
Cypress - Monterey,Housing,14,4,Middle aged,Fair,241.7,107.4
Lime - Common,Highways,12,6,Mature,Fair,701.8,190.5
Horse Chestnut,Education,10,6,Mature,Fair,3643.5,151.2
London plane,Highways,21,16,Mature,Good,1015.6,1029
June berry,Highways,4,2,Middle aged,Fair,2.4,8.6
London plane,Highways,16,6,Mature,Fair,949.8,285.4
London plane,Housing,15,6,Over Mature,Fair,988.8,285.4
Cherry - Double pint,Education,6,5,Middle aged,Fair,90.4,55
Sumach - Stag's horn,Housing,5,6,Mature,Fair,12.8,92.7
Apple,Housing,3,4,Middle aged,Fair,12.3,35.9
Lime - Common,Highways,15,5,Mature,Good,112.6,164.9
False Acacia,Education,18,8,Mature,Fair,382.2,218.3
London plane,Highways,13,13,Mature,Good,1126.2,685.4
London plane,Highways,8,5,Mature,Fair,880.9,87.5
Maple - Silver,Highways,11,7,Mature,Fair,408.3,169.9
June berry,Highways,4,1,Juvenile,Dead,1.4,2.6
Whitebeam - Swedish,Highways,7,5,Mature,Good,261.2,67.7
Lime - Common,Housing,24,10,Mature,Fair,1627.2,450.6
Maple - Field,Housing,13,6,Mature,Good,266.2,191.4
London plane,Housing,23,14,Mature,Good,3055.1,823.5
Willow - White,Parks,9,12,Mature,Fair,362.2,340.3
London plane,Highways,18,16,Mature,Fair,3091.4,982.3
London plane,Highways,10,10,Middle aged,Good,230.1,366
June berry,Highways,6,2,Middle aged,Good,7.7,9.2
Lime - Common,Highways,20,10,Mature,Good,369.6,421.4
Birch - Chinese Red,Highways,4,1,Juvenile,Good,1.5,3.3
Lime - Caucasian,Highways,16,7,Mature,Good,369.6,215.4
Maple - Norway,Highways,10,6,Middle aged,Fair,206.3,244
"Cherry - Wild, Gean",Highways,9,4,Middle aged,Good,62.1,58.5
Cherry - Ornamental,Highways,5,2,Middle aged,Good,18.7,12.6
Lime - Common,Housing,20,9,Mature,Good,869.7,356.1
Cherry,Housing,6,7,Mature,Fair,101.3,101.5
London plane,Housing,18,12,Mature,Good,1002.3,594.5
London plane,Housing,17,12,Mature,Fair,502.6,584
Lime - Common,Highways,12,6,Mature,Fair,317.4,190.5
Oak - Red,Parks,14,12,Mature,Good,1698.5,323.9
Ash,Highways,12,7,Middle aged,Good,239.4,207.1
Box Elder - Variegated,Parks,3,3,Middle aged,Fair,6.6,21.7
Wier maple,Housing,20,9,Mature,Good,948.6,275.3
Sycamore,Parks,17,12,Mature,Good,624.2,348.2
Ash - Yellow,Highways,8,6,Middle aged,Fair,184.6,105.3
Maple - Field,Parks,15,4,Mature,Good,88.4,64.8
Maple - Field,Housing,5,3,Middle aged,Fair,27.7,28.4
June Berry,Highways,3,2,Juvenile,Good,2.4,7.4
Cherry,Housing,2,2,Juvenile,Good,1.6,8.6
Lime - Common,Housing,18,6,Mature,Good,601.2,162.2
"Cherry - Wild, Gean",Parks,6,3,Middle aged,Fair,23.1,29.3
Magnolia,Parks,3,4,Middle aged,Good,12.3,3.5
Birch - Silver,Housing,7,3,Veteran,Poor,137.7,22
Lime - Caucasian,Highways,8,3,Mature,Good,131.8,34.2
Cherry,Education,4,1,Juvenile,Fair,3.4,4
"Oak - Common, Pedunculate",Housing,15,6,Middle aged,Good,229.2,190.9
Maple - Norway,Education,11,8,Mature,Fair,619.7,252.3
Mountain-ash,Highways,4,1,Juvenile,Good,2.4,3.5
London plane,Highways,23,15,Mature,Good,833.3,929
Holly,Housing,4,2,Middle aged,Good,10.4,11.6
London plane,Highways,19,14,Mature,Good,1799.2,456
Lilac,Housing,1.5,1,Mature,Fair,7,2.9
Cherry - Bird,Housing,9,6,Mature,Fair,292.5,107.4
Privet - Golden,Parks,7,4,Middle aged,Fair,117.2,39.3
London plane,Highways,11,7,Mature,Good,1050,225.4
Maidenhair tree,Parks,6,1,Middle aged,Good,19.9,3.2
Cherry,Highways,2,1,Middle aged,Fair,1.6,3.2
Lime - Caucasian,Highways,13,8,Middle aged,Fair,152.7,272.4
Birch - Silver,Housing,9,5,Mature,Fair,89.7,71.1
Lime - Caucasian,Highways,6,3,Middle aged,Good,11.5,15.9
Cherry,Housing,5,1,Juvenile,Good,14.8,3.5
Apple,Highways,7,3,Middle aged,Fair,29.1,13.7
London plane,Highways,11,8,Middle aged,Fair,486.3,279.7
Cherry - Double white,Highways,9,6,Middle aged,Good,80.3,119.3
"Oak - Evergreen, Holm",Parks,8,6,Middle aged,Good,141.9,53.8
Indian Bean Tree,Parks,7,9,Mature,Good,554.9,136.9
Maple - Norway,Highways,11,7,Middle aged,Fair,166.3,199.7
Apple,Highways,8,4,Middle aged,Fair,68.6,55.1
"Oak - Evergreen, Holm",Housing,10,5,Middle aged,Good,169.9,53.8
Red Robin,Highways,3,2,Middle aged,Fair,12.6,9.2
Lime - Caucasian,Highways,13,5,Middle aged,Good,122,164.9
Lime - Caucasian,Highways,7,4,Middle aged,Good,17,69.1
Tree of Heaven,Housing,17,9,Middle aged,Good,296.1,261.6
"Rowan, Mountain Ash",Highways,4,2,Middle aged,Fair,3.8,3.5
Lime - Common,Parks,3,3,Middle aged,Fair,11.5,25.7
Cherry - Rosebud,Housing,3,2,Juvenile,Good,1.6,9.9
Cherry - Bird,Housing,9,6,Middle aged,Good,62.1,119.3
Maple - Norway,Highways,12,6,Middle aged,Fair,199.9,190.5
Sycamore,Housing,12,11,Middle aged,Good,582.4,346.7
Lime - Common,Highways,11,5,Mature,Fair,601.2,96.1
Maple - Norway,Housing,14,8,Mature,Good,545.4,347.7
Birch - Silver,Highways,7,3,Middle aged,Fair,89.7,25.4
Cherry,Education,5,3,Middle aged,Fair,23.1,25.2
Cherry,Housing,5,4,Middle aged,Good,33.7,41.8
London plane,Housing,21,10,Mature,Good,1228.8,453
London plane,Parks,26,20,Mature,Good,3253,1622.3
Elder,Parks,8,0,Mature,Poor,68.6,107.4
Maple - Norway,Parks,12,7,Mature,Fair,383,199.7
London plane,Highways,20,14,Mature,Good,321.5,794.9
Cherry,Highways,5,2,Juvenile,Good,1.6,3.5
London plane,Education,23.1,12,Mature,Fair,2032.9,636.5
Ash - Narrow-leafed,Highways,18,10,Mature,Good,402.8,300.3
Beech - Purple,Housing,15,14,Mature,Good,1980.7,445.2
"Oak - Evergreen, Holm",Housing,12,12,Middle aged,Good,333.6,283.7
Lime - Common,Corporate Landlord,12,8,Middle aged,Fair,369.6,294.9
Sycamore,Housing,14,4,Mature,Fair,54.2,77.2
Lime - Common,Highways,18,9,Mature,Fair,406.9,341.4
Lime - Caucasian,Housing,13,5,Middle aged,Good,65.2,142.9
Maple - Crimson King Norway,Housing,12,9,Mature,Fair,524.5,219.6
Poplar - Lombardy,Housing,32,6,Mature,Good,1364.8,106.8
Hawthorn,Highways,6,6,Mature,Fair,33.9,103.6
Yew - common,Parks,13,10,Mature,Good,130.1,508.6
London plane,Highways,20,10,Mature,Good,779.6,427.5
June Berry,Highways,4,2,Juvenile,Good,2.4,7.4
Maple - Silver,Highways,14,7,Mature,Good,429.1,238.2
London plane,Parks,18,20,Mature,Good,4949.5,1476.5
"Rowan, Mountain Ash",Highways,4,1,Middle aged,Fair,15.7,3.5
London plane,Highways,13,11,Middle aged,Good,441.2,444.4
Lime - Common,Highways,14,6,Middle aged,Good,95.2,244
Whitebeam,Housing,9,7,Middle aged,Good,261.2,132.7
Sycamore - Purple Leaved,Highways,9,4,Middle aged,Fair,96.6,57.4
Birch - Himalayan,Highways,5,2,Juvenile,Good,1.5,3.3
London plane,Highways,18,17,Mature,Fair,382.2,888
Maple,Highways,12,9,Middle aged,Fair,437.5,307.6
Holly,Housing,7,4,Middle aged,Good,116.6,35.1
Cherry - Rosebud,Education,3,4,Middle aged,Good,8.6,3.5
London plane,Parks,16,11,Mature,Good,673.7,490.8
Lime - Large-leaved,Highways,12,5,Mature,Good,301,142.9
Tree of Heaven,Highways,20,12,Mature,Fair,655.5,449.2
London plane,Education,37,3.5,Middle aged,Fair,20.2,55.2
Ash,Highways,10,5,Mature,Fair,292.9,93.4
Sycamore,Parks,20,18,Mature,Fair,1516.4,1075
Apple,Parks,5,6,Middle aged,Fair,94.8,95.7
"Oak - Evergreen, Holm",Parks,14,12,Mature,Good,1010.8,283.7
Apple,Parks,4,3,Middle aged,Fair,9.8,23.7
Cherry - Japanese,Parks,10,5,Mature,Fair,215.6,85.9
Cherry - Bird,Highways,6,4,Middle aged,Fair,198.5,35.1
Sycamore,Parks,14,6,Mature,Fair,104.4,191.4
Hornbeam - European,Highways,4,2,Juvenile,Good,2.4,11.6
Cherry,Highways,5,5,Middle aged,Fair,28.1,57.8
Holly,Parks,8,5,Middle aged,Fair,143.9,67.7
Lime - Common,Highways,15,7,Mature,Fair,509.5,331.2
Holly,Parks,12,9,Mature,Good,301.4,271.9
Mountain-ash,Highways,5,2,Juvenile,Fair,7.5,12.6
"Cherry - Wild, Gean",Highways,10,7,Mature,Fair,548.3,157.7
London plane,Highways,14,8,Middle aged,Good,684.3,258.9
Lime - Common,Highways,12,6,Mature,Fair,783.1,190.5
Holly,Parks,6,4,Middle aged,Good,95.8,35.1
Maple - Field,Highways,9,4,Mature,Fair,283.3,57.4
Oak - Turkey,Parks,24,9,Mature,Good,1214.8,229.2
False Acacia,Housing,7,4,Mature,Good,16.2,47.5
Hawthorn,Highways,5,3,Middle aged,Fair,33.4,25.6
"Rowan, Mountain Ash",Highways,5,4,Middle aged,Fair,39,35.1
Lime - Common,Highways,15,6,Mature,Fair,317.4,277.7
Cotoneaster,Education,4,4,Middle aged,Fair,12.5,37.1
"Rowan, Mountain Ash",Housing,3,2,Juvenile,Fair,5.3,9.9
Pear,Parks,4,1,Juvenile,Fair,3.7,3
London plane,Housing,14,9,Mature,Good,984.2,401.1
Sweet Gum,Parks,9,4,Middle aged,Good,22.7,32.9
Ash - One-leaved,Housing,12,8,Middle aged,Fair,235.7,233.5
Tree of Heaven,Parks,20,15,Mature,Good,649.1,660.9
Wier maple,Housing,14,10,Mature,Good,500.8,328.1
Cherry - Double white,Parks,5,5,Middle aged,Good,39.8,64.1
Maple - Norway,Highways,11,4,Middle aged,Fair,65.4,86.7
London plane,Housing,21,8,Mature,Good,1320.9,301.6
Maple - Norway,Highways,13,6,Mature,Fair,421.3,215.2
Cherry - Sargent's,Highways,6,8,Middle aged,Good,39.8,179.2
Ash,Housing,15,11,Mature,Fair,448.3,391.8
"Cherry - Wild, Gean",Housing,11,5,Middle aged,Fair,39.8,80.8
London plane,Highways,17,12,Mature,Good,2499,584
London plane,Parks,26,17,Mature,Fair,5675.9,1214.3
Lime - Common,Parks,14,10,Mature,Good,317.4,423.3
Lime - Caucasian,Parks,15,7,Mature,Good,254.8,331.2
Whitebeam,Housing,6,5,Mature,Fair,104,55
London plane,Housing,21,14,Mature,Good,898.9,809.2
Lime - Common,Highways,17,6,Mature,Fair,351.7,162.2
Magnolia,Housing,3,2,Juvenile,Good,7.8,9.9
Lime - Weeping silver,Parks,6,5,Middle aged,Good,79.4,68.6
Cherry - Rosebud,Highways,4,3,Juvenile,Good,1.6,3.5
Sycamore,Housing,18,7,Mature,Fair,496.3,198.3
Birch - Himalayan,Housing,4,2,Juvenile,Good,2.7,3.3
Alder - Italian,Parks,8,3,Middle aged,Good,24.7,31.7
Hawthorn - Cockspur,Highways,5,2,Mature,Good,51.7,14.2
Cherry - Double pint,Housing,6,6,Middle aged,Fair,70.8,88.5
Tree of Heaven,Highways,14,9,Mature,Fair,731.2,307.2
Cherry,Housing,4,1,Juvenile,Good,2.7,3.5
London plane,Highways,18,15,Mature,Good,1549.9,888
Ash - One-leaved,Highways,15,8,Mature,Fair,207.3,323
London plane,Highways,20,18,Mature,Good,1668,1243.2
June Berry,Highways,4,1,Juvenile,Good,2.4,2.6
London plane,Highways,18,12,Mature,Good,2163.2,578.8
Red Robin,Highways,3,1.5,Juvenile,Good,23.4,6.7
Ash,Housing,18,13,Mature,Good,681.6,561.7
Loquat,Housing,3,2,Middle aged,Good,7.5,9.9
Sycamore,Housing,14,8,Mature,Fair,405.2,309.6
Rowan - Hubei,Highways,6,2,Juvenile,Good,2.6,3.5
Tulip Tree,Parks,13,3,Middle aged,Good,118.8,44.7
Yew - common,Corporate Landlord,10,11,Mature,Good,471,547.7
"Cherry - Wild, Gean",Housing,6,3,Middle aged,Good,33.7,29.3
Lime - Common,Housing,16,8,Mature,Fair,728.3,265
Sycamore,Education,15,5,Middle aged,Good,130,66.3
Sycamore - Purple Leaved,Highways,9,4,Middle aged,Fair,78.6,66.3
London plane,Highways,20,8,Mature,Good,1011.2,301.6
Rowan - Cut leaved,Housing,5,3,Middle aged,Good,19.7,25.2
Cherry,Highways,6,3,Middle aged,Fair,8.6,12.6
Pear - Weeping leaved,Housing,3,3,Middle aged,Good,81.9,16.6
Ash,Parks,14,6,Middle aged,Good,102.6,207.8
Ash,Parks,9,5,Middle aged,Fair,77,82.5
"Cherry - Wild, Gean",Education,10,6,Middle aged,Good,125.2,66.4
Alder - Grey,Parks,5,2,Middle aged,Fair,23.8,12.6
Birch - Silver,Housing,13,10,Middle aged,Good,181.9,299.2
Cherry - Double pint,Parks,5,6,Middle aged,Fair,90.4,59.5
London plane,Highways,15,8,Mature,Good,255.4,389.1
Lime - Common,Parks,12,7,Mature,Good,406.9,242.2
Birch - Silver,Education,7,4,Middle aged,Fair,46,41.6
Whitebeam,Highways,10,5,Mature,Good,409.7,85.9
London plane,Highways,4,2,Juvenile,Good,2.4,15
Plum,Parks,9,9,Mature,Fair,518.4,217
Paper birch,Highways,7,4,Middle aged,Good,21.6,39.1
Maple - Norway,Parks,10,4,Mature,Good,49.7,86.7
Birch - Silver,Education,7,5,Mature,Good,89.7,57
Lime - Large-leaved,Housing,16,7,Mature,Good,625.5,442.7
London plane,Highways,9,6,Middle aged,Good,35.1,89.1
Red Robin,Highways,4,2,Middle aged,Good,7.9,11.6
Red Robin,Highways,4,2,Middle aged,Good,19.8,11.6
Hornbeam,Highways,11,6,Mature,Fair,285.1,133.2
Maple - Crimson King Norway,Housing,6,3,Juvenile,Good,16.2,37
Whitebeam,Education,7,5,Middle aged,Good,94.8,60.8
Ash,Housing,15,12,Mature,Fair,469.5,395.5
London plane,Highways,11,6,Mature,Good,787.1,173.8
